TID,CN
TID_CLAN_CREATE_XP_LEVEL_REQUIRED,You need to reach experience level <LEVEL> to create a Club
TID_PLAYER_DATA_MISSING,Player data missing
TID_ALLIANCE_DATA_MISSING,Club data missing
TID_BATTLE_END_PLAYER_NAME_YOU,<c00ff00><NAME></c>
TID_BATTLE_END_PLAYER_NAME_OTHER,<NAME>
TID_RECHARGE_HINT,Wait for ammo to recharge!
TID_EVENT_EXPIRED,Event expired
TID_DOUBLE_COINS_INFO,Battling here gives you double Tokens
TID_DOUBLE_XP_INFO,Battling here gives you double experience
TID_SETTINGS_TITLE,SETTINGS
TID_SETTINGS_CONTROL_MODE_TITLE,CONTROL MODE
TID_SETTINGS_CONTROL_MODE_VALUE_0,Tap to move
TID_SETTINGS_CONTROL_MODE_INFO_0,Tap the screen to make your Brawler move there. Drag to aim and release to shoot.
TID_SETTINGS_CONTROL_MODE_VALUE_1,Joystick Move (Right Handed)
TID_SETTINGS_CONTROL_MODE_INFO_1,Move with a virtual joystick in the bottom left corner. Tap at a target to shoot.
TID_SETTINGS_CONTROL_MODE_VALUE_2,Joystick Move (Left Handed)
TID_SETTINGS_CONTROL_MODE_INFO_2,Move with a virtual joystick in the bottom right corner. Tap at a target to shoot.
TID_CHANGE_NAME_TITLE,CHANGE NAME
TID_SETTINGS_PLAYERNAME_CURRENT,Current Name:
TID_SETTINGS_PLAYERNAME_ENTERNEW,Enter new name:
TID_ERROR_NAMES_DONT_MATCH,Names don't match. Please try again.
TID_CONTINUE,Continue
TID_NAMECHANGE_WARNING,NOTE: You can only change your name ONCE
TID_CONFIRM,Confirm
TID_INVALID_NAME,Invalid name! Please try another one.
TID_SETTINGS_PLAYERNAME_REENTERNEW,Re-enter your new name:
TID_NAME_ALREADY_CHANGED,Name can only be changed once.
TID_NAME_CHANGE_ALREADY_USED,You have already changed your name once
TID_NAME_CHANGED_SUCCESS,Your name was changed!
TID_NAME_CHANGE_IN_PROGRESS,Can't change name. Previous name change is in progress.
TID_NAME_CHANGE_EXP_LEVEL_TOO_LOW,Name change is available starting from experience level <level>
TID_CONFIRM_CONFIRM,Please type in \q<confirmword>\q and press the Okay button to complete the action
TID_CONFIRM_WORD,CONFIRM
TID_SETTINGS_PLAYERNAME_CONFIRM_NEW,Are you sure you want to change your name?\nYour new name will be:
TID_BUTTON_CONFIRM,Okay
TID_EVENTS_TIME,<cFFFFFF><TIME></c>
TID_EVENTS_TEASER_TIME,<TIME>
TID_EVENTS_TIME_ENDING,<cFFFF00><TIME></c>
TID_EVENTS_TIME_ENDING_SOON,<cff0000><TIME></c>
TID_EVENTS_NEXT_EVENT_STARTING_AT,Next event in
TID_EVENTS_TIME_LEFT,Time left
TID_EVENTS_NEW,NEW!
TID_EVENTS_FREE_REWARD,<AMOUNT>
TID_EVENTS_XP_CAP_REACHED,All experience collected
TID_EVENTS_EVENT_LOCKED,LOCKED
TID_EVENTS_TROPHY_REQ,Reach <c00ffff><COUNT></c> total Trophies to unlock
TID_GAME_STARTING,A game is starting at <LOCATION>. Please join!
TID_WEEKEND_EVENT,Double experience event
TID_PLAYER_KILLED_SOMEONE,<name>
TID_SHOP_WELCOME_TITLE,WELCOME TO THE SHOP
TID_SHOP_WELCOME,New sections of the shop will open up as you progress in the game!\n\nBe sure to check back regularly for new deals!
TID_SHOP_SPECIAL_OFFER,SPECIAL OFFER
TID_SHOP_COIN_BOOSTERS,BOOSTERS
TID_SHOP_GEM_PACKS,GEM PACKS
TID_SHOP_PURCHASED,Purchased
TID_SHOP_OBTAINED,Obtained
TID_SHOP_INVALIDATED,Expired
TID_SHOP_ACTIVE,Active
TID_SHOP_DOUBLE_COINS_TITLE,TOKEN DOUBLER
TID_SHOP_DOUBLE_COINS_INFO,Doubles the next
TID_SHOP_DOUBLE_COINS_INFO_2,you earn from Battles
TID_SHOP_DOUBLE_COINS_INFO_COMBINED,Doubles the next <AMOUNT> Tokens you earn from Battles
TID_SHOP_DOUBLE_COINS_COINS_REMAINING,Tokens remaining:
TID_SHOP_DOUBLE_COINS_PURCHASE_ERROR_2,Not enough Gems
TID_SHOP_OFFER_PURCHASE_ERROR_3,This offer has already been purchased
TID_SHOP_OFFER_PURCHASE_ERROR_4,Cannot purchase this offer. You already have one or more items of this offer
TID_SHOP_OFFER_TITLE,Time Limited Offer
TID_SHOP_GEM_PACK_1_TITLE,Fistful of Gems
TID_SHOP_GEM_PACK_2_TITLE,Pouch of Gems
TID_SHOP_GEM_PACK_3_TITLE,Satchel of Gems
TID_SHOP_GEM_PACK_4_TITLE,Bucket of Gems
TID_SHOP_GEM_PACK_5_TITLE,Crate of Gems
TID_SHOP_GEM_PACK_6_TITLE,Haul of Gems
TID_SHOP_HEROES_OF_RARITY,GUARANTEED BRAWLERS
TID_SHOP_HERO_OF_RARITY_TITLE,<c<COLOR>><NAME></c> BRAWLER
TID_SHOP_HERO_OF_RARITY_BOX,Brawler Box
TID_SHOP_HERO_POWER_TITLE,<cffffff>+<AMOUNT></c> POWER
TID_SHOP_GATCHA_BOXES,BOXES
TID_SHOP_GATCHA_BOX_1,BIG BOX
TID_SHOP_GATCHA_BOX_2,BRAWL BOX
TID_SHOP_GATCHA_BOX_3,MEGA BOX
TID_SHOP_GATCHA_BOX_PURCHASE_ERROR_3,Cannot purchase any more boxes today
TID_SHOP_TICKETS,EVENT TICKETS
TID_SHOP_TICKET_PACK_0,Pack of Tickets
TID_SHOP_TICKET_PACK_1,Pile of Tickets
TID_SHOP_TICKET_PACK_2,Roll of Tickets
TID_SHOP_HERO_LVL_UP_MATERIAL_PACKS,COIN PACKS
TID_SHOP_HERO_LVL_UP_MATERIAL_PACK_0,Fistful of Coins
TID_SHOP_HERO_LVL_UP_MATERIAL_PACK_1,Pouch of Coins
TID_SHOP_HERO_LVL_UP_MATERIAL_PACK_2,Bag of Coins
TID_HERO_LVL_MATERIAL_RECEIVED,<AMOUNT> Coins purchased
TID_SHOP_DAILY_OFFERS,DAILY DEALS
TID_SHOP_FREE,FREE
TID_SHOP_CLAIM,CLAIM
TID_SHOP_NEW_DAILY_OFFERS_AVAILABLE_IN,<TIME>
TID_SHOP_TICKETS_AVAILABLE_FOR,<TIME>
TID_SHOP_DISCOUNT,-<AMOUNT>%
TID_SHOP_OFFER_TITLE_0,FREE BOX
TID_SHOP_OFFER_TITLE_1,COINS
TID_SHOP_OFFER_TITLE_6,BRAWL BOX
TID_SHOP_OFFER_TITLE_7,TICKETS
TID_SHOP_OFFER_TITLE_8,POWER POINTS
TID_SHOP_OFFER_TITLE_9,TOKEN DOUBLER
TID_SHOP_OFFER_TITLE_10,MEGA BOX
TID_SHOP_OFFER_TITLE_12,POWER POINTS
TID_SHOP_OFFER_TITLE_14,BIG BOX
TID_SHOP_OFFER_TITLE_15,BRAWL BOX
TID_SHOP_OFFER_TITLE_16,GEMS
TID_SHOP_OFFER_DESC_GOLD,Use Coins to upgrade your Brawlers
TID_SHOP_OFFER_ANY_BRAWLER,ON ANY\nBRAWLER
TID_PURCHASE_OFFER_POPUP_TITLE,Confirm purchase
TID_PURCHASE_OFFER_POPUP_TITLE_FREE,Free Reward
TID_SHOP_OFFER_NEW_HERO_LABEL,NEW BRAWLER
TID_SHOP_OFFER_NEW_SKIN_LABEL,NEW SKIN
TID_SHOP_OFFER_HERO_POWER_TITLE,POWER POINTS
TID_SHOP_TICKET_PURCHASE_ERROR_4,Cannot purchase. Only 1 purchase per pack is allowed per event
TID_SHOP_OFFER_NEW,NEW
TID_GATCHA_BOX_TITLE_2,BRAWL BOX
TID_GATCHA_BOX_TITLE_3,MEGA BOX
TID_SHOP_HERO_PURCHASE_CONFIRM_LABEL,NEW BRAWLER
TID_GATCHA_BOX_INFO_2,Contains a new Brawler or a Star Power or Coins and Power Points for two brawlers. Some boxes contain bonus Event Tickets or a Token Doubler!
TID_GATCHA_BOX_INFO_3,\n\n<AMOUNT> times the size of a single Brawl Box.
TID_SHOP_OFFER_INFO_0,It's free. Enjoy!
TID_SHOP_OFFER_INFO_1,Contains <AMOUNT> Coins. Use Coins to upgrade your Brawlers.
TID_SHOP_OFFER_INFO_2,Unlock a random <RARITY> Brawler!
TID_SHOP_OFFER_INFO_3,Unlock a new Brawler!
TID_SHOP_OFFER_INFO_6,"Brawl Boxes can contain Brawlers, Power Points, Coins and more!"
TID_SHOP_OFFER_INFO_7,Contains <AMOUNT> Event Tickets. Use Event Tickets to play Ticket Events.
TID_SHOP_OFFER_INFO_8,Contains <AMOUNT> Power Points. Collect Power Points to unlock Brawler upgrades!
TID_SHOP_OFFER_INFO_9,Doubles the next <AMOUNT> Tokens you get from Battles!
TID_SHOP_OFFER_INFO_10,Mega Boxes have ten times more goodies than regular size Brawl Boxes!
TID_SHOP_OFFER_INFO_12,You get to select the Brawler that receives the Power Points
TID_SHOP_OFFER_INFO_13,Unlock new event slot
TID_SHOP_OFFER_INFO_14,Big Boxes have three times more goodies than regular size Brawl Boxes!
TID_SHOP_OFFER_HOR_NEW,NEW
TID_SHOP_OFFER_HOR_RARITY,<c<COLOR>><NAME></c>
TID_SHOP_OFFER_HOR_BRAWLER,BRAWLER
TID_SHOP_OFFER_HOR_POPUP_RARITY,NEW <c<COLOR>><NAME></c>
TID_SHOP_OFFER_HOR_POPUP_BRAWLER,BRAWLER
TID_SHOP_SKIN_OFFER,SKIN OFFER
TID_SKINS_AD_TITLE,NEW SKINS AVAILABLE
TID_SKINS_AD_OK,OK
TID_SKINS_AD_INFO,Check out the new Skins on the Brawlers screen!
TID_TERMS_OF_SERVICE_BUTTON,Terms of Service
TID_IMMUNE,Immune
TID_BATTLE_END_PROCEED,PROCEED
TID_HINT_TAP_TO_MOVE_1,Collect <ce662f9>GEMS</c> from the middle of the map
TID_CANT_DEACTIVATE_ULTI_DURING_TUTORIAL_1,Aim the Super towards the enemy!
TID_HINT_SHOOT_1,<ce662f9>GEMS</c> pop out from the hole in the middle!
TID_HINT_DRAG_TO_ULTI_1,Now shoot your SUPER with the red stick!
TID_BIND_TO_NEW_GAMECENTER_ACCOUNT_TITLE,New Game Center login
TID_BIND_TO_NEW_GAMECENTER_ACCOUNT,Do you want to save your current game on this Game Center account?
TID_GOOGLE_SERVICE_BOUND_TO_OTHER_ACCOUNT_TITLE,Google Account Alert
TID_GOOGLE_SERVICE_BOUND_TO_OTHER_ACCOUNT,Do you want to load <name>'s game with experience level <number>? Warning: progress in the current game will be lost.
TID_BOUND_TO_OTHER_ACCOUNT_LOAD_VILLAGE_TITLE,Load game?
TID_BUTTON_VILLAGE_LOAD,Load
TID_GAMECENTER_BOUND_TO_OTHER_ACCOUNT_TITLE,Game Center Alert
TID_GAMECENTER_BOUND_TO_OTHER_ACCOUNT,Do you want to load <name>'s game with experience level <number>? Warning: Progress in the current game will be lost.
TID_BUTTON_AVATAR_LOAD,Load
TID_SETTINGS_SCREEN_TITLE,Settings
TID_SETTINGS_MUSIC,MUSIC
TID_SETTINGS_SFX,SOUND EFFECTS
TID_SETTINGS_OFF,OFF
TID_SETTINGS_ON,ON
TID_SETTINGS_LANGUAGE,LANGUAGE
TID_ACCOUNT,Devices
TID_LINK_DEVICE_BUTTON,Link a device
TID_SETTINGS_FACEBOOK,FRIENDS
TID_CHANGE_NAME_BUTTON,Change Name
TID_CREDITS_BUTTON,Credits
TID_PRIVACY_POLICY_BUTTON,Privacy Policy
TID_PARENTS_GUIDE_BUTTON,Parent's Guide
TID_MULTIDEVICE_INFO,Sign in using your Game Center account to safeguard your progress and play with multiple iOS devices.
TID_SETTINGS_GOOGLE,Google Play Sign-In
TID_SETTINGS_BUTTON_FACEBOOK_CONNECTED,Connected
TID_SETTINGS_BUTTON_FACEBOOK_DISCONNECTED,Connect
TID_SETTINGS_BUTTON_FACEBOOK_CONNECTED_UP,CONNECTED
TID_SETTINGS_BUTTON_FACEBOOK_DISCONNECTED_UP,CONNECT
TID_FAQ_BUTTON,Help and support
TID_ABOUT,Credits\n\n<names>\n\nBrawl Stars ™ <version>\nCopyright 2016-2019 Supercell Ltd. All Rights Reserved.\nAll use of this software is subject to Terms and Conditions and Privacy Policy at www.supercell.com.
TID_IAP_TRANSACTION_PENDING,Please wait. Transaction is pending.
TID_RATE_APP_TITLE,Rate Brawl Stars
TID_RATE_APP_MESSAGE,Please rate or review Brawl Stars on App Store to give us valuable feedback!
TID_BUTTON_RATE_APP_LATER,Later
TID_BUTTON_RATE_APP_REVIEW,Review
TID_BUTTON_RATE_APP_NEVER,Never
TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE_TITLE,Account unlock unavailable
TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE,Account unlock is unavailable at the moment. Please try again later!
TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE_BUTTON,Try again
TID_ACCOUNT_LOCKED_INVALID_CODE,Invalid unlock code!
TID_ACCOUNT_LOCKED_TITLE,Account Locked
TID_ACCONT_LOCKED_TEXT,Your account has been locked for security reasons. Enter the unlock code to recover your account.
TID_ACCOUNT_LOCKED_TEXT2,Enter unlock code here:
TID_HERO_LIST_CONFIRM_GEM_GATCHA,Tap to confirm
TID_NOT_ENOUGH_GEMS_TITLE,Not enough Gems
TID_NOT_ENOUGH_GEMS_INFO,\n\nYou're out of Gems. Visit the Shop to get some more!
TID_NOT_ENOUGH_GEMS_GO_TO_SHOP,Go to Shop
TID_COIN_DOUBLER_TITLE,Purchase Token Doubler
TID_COIN_DOUBLER_TITLE_WITH_COINS,Add Tokens to Token Doubler
TID_COIN_DOUBLER_INFO,Doubles the next <c2edd1b><AMOUNT></c> Tokens you earn from Battles.
TID_COIN_DOUBLER_INFO_WITH_COINS,Add <c2edd1b><AMOUNT></c> Tokens to your Token Doubler.\n\nToken Doubler doubles the Tokens you earn from battles.
TID_GEM_PRICE_OK,<COST>
TID_GEM_PRICE_WARN,<COST>
TID_STAT_PER_DYNAMITE,Damage per dynamite
TID_STARS_1,Watch out: you have a <ce662f9>GEM</c>!
TID_STARS_2,Watch out: you have <ce662f9>GEMS</c>!
TID_STARS_3,Watch out: you have a lot of <ce662f9>GEMS</c>!
TID_STARS_4,Watch out: you have a ton of <ce662f9>GEMS</c>!
TID_GATCHA_BUTTON_TITLE,BRAWL BOX
TID_1ST_WIN_CHEST_BUTTON_TITLE,BIG BOX
TID_EVENT_LOCKED,Locked
TID_SPECIAL_EVENT_TITLE_TOP,SPECIAL EVENT:
TID_SPECIAL_EVENT_STATUS_ACTIVE,active for
TID_SPECIAL_EVENT_STATUS_FUTURE,starting in
TID_EVENT_COMING_UP_INFO,This event will open in <TIME>
TID_ROCKET_BEACH_SKIN,BEACH BROCK
TID_CACTUS_PINK_SKIN_OLD,PINKY SPIKE
TID_SHAMAN_PANDA_SKIN,PANDA NITA
TID_CROW_WHITE_SKIN,WHITE CROW
TID_BULL_HAIR_SKIN,VIKING BULL
TID_TRICKSHOT_GOLD_SKIN_OLD,GOLD MEDALIST RICOCHET
TID_BARKEEP_GOLD_SKIN,GOLDEN BARLEY
TID_GUNSLINGER_ROCKSTAR_SKIN,ROCKSTAR COLT
TID_STAT_HEAL,Heal
TID_LUCHADOR_RUDO_SKIN,EL RUDO PRIMO
TID_HERO_INFO_PURCHASE_SKIN_LABEL,Buy
TID_EVENTS_NEW_EVENT,New Event!
TID_SETTINGS_BRAWLHINTS,Battle Hints
TID_COLLECTED_COINS_INFO,You have collected <CURRENT> Tokens out of the maximum of <MAX> from <PLANET>
TID_COLLECTED_COINS_INFO_CAPPED,You have collected all the Tokens available on <PLANET>
TID_FIRST_WIN_INFO,Earn a <cff8E1b>Star Token</c> for your first win against other players.
TID_TICKET_COUNTER_INFO,Find Event Tickets inside Brawl Boxes.\n\nSpend Tickets to Brawl here!
TID_NOT_ENOUGH_TICKETS,Not enough tickets
TID_EVENT_LIST_GAME_ROOMS,NEW TEAM
TID_EVENT_LIST_WELCOME,Welcome to Brawl Stars!
TID_COOP,Co-op Brawl
TID_COOP_NOT_SUPPORTED,Co-op Brawl not supported in this event
TID_PRACTISE_NOT_SUPPORTED,Practice not supported in this event
TID_BIND_TO_NEW_FACEBOOK_ACCOUNT_TITLE,New Facebook login
TID_BIND_TO_NEW_FACEBOOK_ACCOUNT,Do you want to link your current game to this Facebook account?
TID_BUTTON_OKAY,Okay
TID_SELECT_PLAYER_THUMBNAIL_FAIL_4,This icon requires <HERO>
TID_HERO_PORTRAIT_CRAFT_COST,<cffffff><COST></c>
TID_HERO_PORTRAIT_CRAFT_COST_NEG,<c999999><COST></c>
TID_EVENT_POPUP_CREATE_TEAM_INFO,Invite friends and\nplay together
TID_EVENT_POPUP_HIGHSTAKES_INFO,You can spend multiple tickets per game to get better rewards.
TID_EVENT_POPUP_GMV_LABEL_TEAM,3 vs 3
TID_EVENT_POPUP_GMV_LABEL_BATTLE_ROYALE,Sole Survivor
TID_EVENT_POPUP_GMV_LABEL_BOSS_FIGHT,5 vs 1
TID_EVENT_POPUP_GMV_LABEL_COOP_SURVIVAL,Three players vs Robo Bandits
TID_HIGHSTAKES_REWARDS,Rewards x<COUNT>
TID_HIGHSTAKES_COST,Tickets: <COUNT>
TID_POPUP_ANDROID_EXIT_TITLE,Exit Brawl Stars?
TID_POPUP_ANDROID_EXIT,Are you sure you want to exit Brawl Stars?
TID_ROOM_NOT_SUPPORTED,Teams are not supported in this event
TID_ERROR_POP_UP_PURCHASE_FAILED_TITLE,Purchase failed
TID_ERROR_POP_UP_PURCHASE_FAILED,Billing server not responding. Please try again later.
TID_ERROR_POP_UP_PURCHASE_FAILED_BUTTON,Ok
TID_IAP_NOT_AVAILABLE,Please enable In-App Purchases in your device restrictions settings.
TID_NEWS_TITLE,NEWS
TID_STAT_DAMAGE_PER_ARROW,Damage per arrow
TID_STAT_DAMAGE_PER_MINE,Damage per trap
TID_STAT_DAMAGE_PER_SPIKE,Damage per spike
TID_STAT_DAMAGE_PER_DAGGER,Damage per dagger
TID_FRIENDS_FACEBOOK_CONNECTED,Facebook connected
TID_FRIENDS_FACEBOOK_NOT_CONNECTED,Connect to Facebook to see your Facebook friends here!
TID_FRIENDS_NO_FRIENDS,No friends
TID_FRIENDS_SUGGESTIONS_SEND_REQUEST,SEND FRIEND REQUEST
TID_FRIENDS_TITLE_1_NO_COUNT,FRIENDS
TID_FRIENDS_TITLE_1,FRIENDS (<COUNT>)
TID_FRIENDS_TITLE_2,SUGGESTED FRIENDS
TID_FRIENDS_TITLE_3,FRIEND INVITES
TID_FRIEND_SUGGESTIONS_GAMES_PLAYED_MULT,<COUNT> GAMES PLAYED TOGETHER RECENTLY
TID_FRIEND_SUGGESTIONS_GAMES_PLAYED_ONE,ONE GAME PLAYED TOGETHER RECENTLY
TID_FRIENDS_NO_ENTRIES_TAB_2,NO FRIEND SUGGESTIONS
TID_FRIENDS_NO_ENTRIES_TAB_3,NO FRIEND INVITES
TID_FRIENDS_CANNOT_REMOVE_FRIEND,Can't remove friends from your social networks.
TID_FRIEND_REQUEST_ACCEPT,ACCEPT
TID_FRIEND_REQUEST_REJECT,REJECT
TID_FRIEND_REQUEST_REASON_0,
TID_FRIEND_REQUEST_REASON_1,FROM A CLUB
TID_FRIEND_REQUEST_REASON_2,FROM A TEAM
TID_FRIEND_REQUEST_REASON_3,<AMOUNT> GAMES PLAYED TOGETHER RECENTLY
TID_FRIEND_REQUEST_REASON_4,<AMOUNT> GAMES PLAYED TOGETHER RECENTLY
TID_FRIEND_POPOVER_PROFILE,PROFILE
TID_FRIEND_POPOVER_REMOVE,REMOVE
TID_FRIEND_POPOVER_SPECTATE,SPECTATE
TID_FRIEND_POPOVER_YOU,This is you
TID_REMOVE_FRIEND_POPUP_REMOVE,REMOVE
TID_REMOVE_FRIEND_POPUP_CANCEL,CANCEL
TID_REMOVE_FRIEND_POPUP_TITLE,CONFIRM FRIEND REMOVE
TID_REMOVE_FRIEND_POPUP_BODY,Are you sure you want to remove <NAME> from your friend list?
TID_UNLOCK_SKIN_CONTENT,\n\nBUY <NAME> SKIN
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_TITLE,Connection lost
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE,Another device is connecting to this game.
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_BUTTON,Reload
TID_BAD_CONNECTION,Bad network connection
TID_FACEBOOK_BOUND_TO_OTHER_ACCOUNT_TITLE,Facebook Alert
TID_FACEBOOK_BOUND_TO_OTHER_ACCOUNT,This Facebook account is already linked to another Brawl Stars game. Link it to your current game instead?
TID_TEAM_FREE_EVENT_REWARD_CLAIMED,Free event reward claimed
TID_GEM_BUY_CONFIRMATION,<AMOUNT> gems received!
TID_BLOCKED_TEAM_READY,Cannot display this while ready
TID_TEAM_CANNOT_INVITE_WHILE_READY,Cannot invite while READY
TID_SHOTGUN_BANDITA_SKIN,BANDITA SHELLY
TID_SHUTDOWN_STARTED,Game is closing for a short maintenance break in 5 minutes.
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_LONG,"Sorry, the servers are under maintenance. Please try again in a few hours."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_TWO_HOURS,"Sorry, the servers are under maintenance. Please try again in a couple hours."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR_AND_HALF,"Sorry, the servers are under maintenance. Please try again in about an hour and a half."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR,"Sorry, the servers are under maintenance. Please try again in about an hour."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_MINUTES,"Sorry, the servers are under maintenance. Please try again in about <value> minutes."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_SOON,"Sorry, the servers are under maintenance. Please try again in a few minutes."
TID_SHUTDOWN_BATTLE_DISABLED,Game is closing for a maintenance in a few minutes. Starting new games is disabled until maintenance is over.
TID_TEAM_SEARCH_NO_TEAM_CODE,Enter team code.
TID_NO_RIGHTS_TO_ACCEPT_TO_JOIN_REQ,You don't have access to accept or reject join requests.
TID_CLAN_RESPONSE_71,Seniors have a cooldown between kicks
TID_STAT_MAX_DAMAGE,Damage at max range
TID_STAT_DAMAGE_PER_BOMB,Damage per grenade
TID_ELDER_KICK_FAIL_COOLDOWN,You have recently kicked a Club member. Try again in <time>.
TID_LUCHADOR_KING_SKIN,EL REY PRIMO
TID_PLAYER_DEFEATED_BR,Brawler defeated
TID_BALL_1,Backyard Bowl
TID_HINT_GET_BALL,Get the <cdaa520>Ball</c>!
TID_LASER_BALL_INTRO_TEXT,Score two goals to win!
TID_AFK_WARNING,Idle Warning! Please move!
TID_AFK_DISCONNECTED_MSG,You were disconnected from the battle because of idling or bad network
TID_AFK_BANNED_MSG,You are banned from your current battle because of idling or bad network. You will be allowed back into the game once the battle is over.
TID_AFK_DISCONNECTED_TITLE,Idle Disconnect
TID_AFK_BANNED_TITLE,Banned From Battle
TID_AFK_RELOAD,Reload
TID_GAME_MODE_7,BIG GAME
TID_GAME_MODE_7_DESC,"Five players attempt to defeat one player's BIG BRAWLER.\n\nAs the BIG BRAWLER, you'll have a massive power advantage, and a huge amount of health that drains slowly. Defy the hunters and stay in the game as long as you can!\n\nAs one of the five hunters, you'll need to work together with your team to take down the BIG BRAWLER as fast as possible!"
TID_BOSS_INTRO_TEXT_ATTACK,Defeat the BIG BRAWLER!
TID_BOSS_INTRO_TEXT_DEFEND,You are the BIG BRAWLER!
TID_BOSS_1,Calamity Canyon
TID_SEASON_END_POPUP_TITLE,SEASON HAS ENDED
TID_SEASON_END_POPUP_REWARD,SEASON END REWARD
TID_SEASON_END_POPUP_GOLD_VALUE,<VALUE>
TID_COIN_META_MIGRATION_TITLE,Important Changes!
TID_COIN_META_MIGRATION_OK,PLAY TUTORIAL
TID_COIN_META_MIGRATION_TXT_1,"Brawl Stars has a new upgrade system, where Brawlers can level up after getting enough Power Points. Your existing progress has been converted to Brawler Levels."
TID_COIN_META_MIGRATION_TXT_2,"You receive Brawl Boxes for your unused Upgrade Tokens, and some more to make sure you don't lose progress."
TID_COIN_META_MIGRATION_TXT_3,Game is now played in landscape and controlled with dual joysticks.
TID_COIN_META_MIGRATION_TXT_4,COIN BOOSTER is now gone and converted to gems.
TID_BOLTS_MIGRATION_TITLE,Important Changes!
TID_BOLTS_MIGRATION_OK,Ok
TID_BOLTS_MIGRATION_INFO,The new Brawler upgrade system no longer uses Elixir. You have been refunded <BOLTS> Upgrade Tokens for your Elixir and previous Brawler upgrades. Use Upgrade Tokens to upgrade your Brawlers!\n\nDuplicate Brawlers and therefore also Chips have been removed from the game. You have been refunded <GEMS> Gems for your Chips. Enjoy!
TID_BOLTS_MIGRATION_ELIXER_TOKEN,YOUR ELIXIR HAS BECOME UPGRADE TOKENS
TID_BOLTS_MIGRATION_CHIP_GEM,YOUR CHIPS WERE CASHED OUT INTO GEMS
TID_STAT_HEALING_PER_SEC,Healing per second
TID_STAT_DAMAGE_PER_CARD,Damage per card
TID_OVERTIME,Overtime!
TID_STARTER_PACK_XP_REQ,Special offer for reaching experience level <XPLEVEL>
TID_VALUE,value
TID_SHOP_ONE_TIME_PURCHASE,This offer is a ONE time purchase!
TID_HINT_MAKE_GOAL_1,DRAG the <ccc0033>RED CONTROL</c> to aim the Ball!
TID_BALL_2,Triple Dribble
TID_BALL_3,Pinhole Punt
TID_STARTER_PACK_1,Level 5 Pack
TID_STARTER_PACK_2,Level 15 Pack
TID_STARTER_PACK_3,Level 25 Pack
TID_IAP_XMAS2018_PACK,Holiday Pack
TID_IAP_XMAS2018_PACK_DESC,Ho Ho Ho!
TID_STARTER_PACK_0,Welcome Pack
TID_STARTER_PACK_0_DESC,Celebrating the beginning of your Brawl Stars journey
TID_IAP_LNY2019_PACK,Lunar Brawl Offer
TID_IAP_LNY2019_PACK_DESC,Happy Lunar New Year!
TID_IAP_MARCH2019_PACK,March Offer
TID_IAP_MARCH2019_PACK_DESC,This is a one time offer!
TID_IAP_REFRESHER_PACK_DESC,This is a one time offer!
TID_BLACKHOLE_DEFAULT_SKIN,Default
TID_GOLD_CAP_HIT,Token limit reached.
TID_GATCHA_BUTTON_BOX_STACK_FULL,Box stack full
TID_COOP_1,Pachinko Park
TID_GAME_MODE_8,ROBO RUMBLE
TID_GAME_MODE_8_DESC,"Defend the safe from greedy Robo Bandits! The longer you defend, the better your reward!\n\nRobots will be coming for the safe from all sides, and in ever-increasing numbers. Do your best to defend as long as you can!"
TID_COOP_INTRO_TEXT,Defend the safe!
TID_SELECT_EVENT_POPUP_TITLE,Select event
TID_BARREL_BOT,DARRYL
TID_BARREL_BOT_DESC,Darryl has a powerful double-shotgun attack. His Super move is a reckless roll inside his bouncy barrel!
TID_BARREL_BOT_WEAPON,DOUBLE DEUCE
TID_BARREL_BOT_WEAPON_DESC,Darryl's double barrel shotguns fire two staggered blasts of heavy close-range damage.
TID_BARREL_BOT_ULTI,BARREL ROLL
TID_BARREL_BOT_ULTI_DESC,"Darryl rolls forward inside his barrel, knocking back enemies and bouncing off walls. His Super recharges over time!"
TID_ARTILLERY_DUDE,PENNY
TID_ARTILLERY_DUDE_DESC,"Penny shoots bags of coins, damaging the target and anyone standing behind. Her Super is a mortar-style cannon turret!"
TID_ARTILLERY_DUDE_WEAPON,PLUNDERBUSS
TID_ARTILLERY_DUDE_WEAPON_DESC,"Shoots out a pouch of fool's gold. If the pouch hits an enemy, it bursts and coins pepper targets behind the first enemy."
TID_ARTILLERY_DUDE_ULTI,OLD LOBBER
TID_ARTILLERY_DUDE_ULTI_DESC,"Penny sets up her cannon! It can shoot at enemies at a long range, even if they are behind cover."
TID_ITEM_NAME_SPECIAL,STAR POWER
TID_HERO_INFO_ITEM_LOCKED,You can find this after level <LEVEL>
