TID,FI
TID_TEAM_FREE_EVENT_REWARD_CLAIMED,Free event reward claimed
TID_GEM_BUY_CONFIRMATION,<AMOUNT> gems received!
TID_BLOCKED_TEAM_READY,Cannot display this while ready
TID_TEAM_CANNOT_INVITE_WHILE_READY,Cannot invite while READY
TID_SHOTGUN_BANDITA_SKIN,BANDITA SHELLY
TID_SHUTDOWN_STARTED,Game is closing for a short maintenance break in 5 minutes.
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_LONG,"Sorry, the servers are under maintenance. Please try again in a few hours."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_TWO_HOURS,"Sorry, the servers are under maintenance. Please try again in a couple hours."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR_AND_HALF,"Sorry, the servers are under maintenance. Please try again in about an hour and a half."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR,"Sorry, the servers are under maintenance. Please try again in about an hour."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_MINUTES,"Sorry, the servers are under maintenance. Please try again in about <value> minutes."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_SOON,"Sorry, the servers are under maintenance. Please try again in a few minutes."
TID_SHUTDOWN_BATTLE_DISABLED,Game is closing for a maintenance in a few minutes. Starting new games is disabled until maintenance is over.
TID_TEAM_SEARCH_NO_TEAM_CODE,Enter team code.
TID_NO_RIGHTS_TO_ACCEPT_TO_JOIN_REQ,You don't have access to accept or reject join requests.
TID_CLAN_RESPONSE_71,Seniors have a cooldown between kicks
TID_STAT_MAX_DAMAGE,Damage at max range
TID_STAT_DAMAGE_PER_BOMB,Damage per grenade
TID_ELDER_KICK_FAIL_COOLDOWN,You have recently kicked a Club member. Try again in <time>.
TID_LUCHADOR_KING_SKIN,EL REY PRIMO
TID_PLAYER_DEFEATED_BR,Brawler defeated
TID_BALL_1,Backyard Bowl
TID_HINT_GET_BALL,Get the <cdaa520>Ball</c>!
TID_LASER_BALL_INTRO_TEXT,Score two goals to win!
TID_AFK_WARNING,Idle Warning! Please move!
TID_AFK_DISCONNECTED_MSG,You were disconnected from the battle because of idling or bad network
TID_AFK_BANNED_MSG,You are banned from your current battle because of idling or bad network. You will be allowed back into the game once the battle is over.
TID_AFK_DISCONNECTED_TITLE,Idle Disconnect
TID_AFK_BANNED_TITLE,Banned From Battle
TID_AFK_RELOAD,Reload
TID_GAME_MODE_7,BIG GAME
TID_GAME_MODE_7_DESC,"Five players attempt to defeat one player's BIG BRAWLER.\n\nAs the BIG BRAWLER, you'll have a massive power advantage, and a huge amount of health that drains slowly. Defy the hunters and stay in the game as long as you can!\n\nAs one of the five hunters, you'll need to work together with your team to take down the BIG BRAWLER as fast as possible!"
TID_BOSS_INTRO_TEXT_ATTACK,Defeat the BIG BRAWLER!
TID_BOSS_INTRO_TEXT_DEFEND,You are the BIG BRAWLER!
TID_BOSS_1,Calamity Canyon
TID_SEASON_END_POPUP_TITLE,SEASON HAS ENDED
TID_SEASON_END_POPUP_REWARD,SEASON END REWARD
TID_SEASON_END_POPUP_GOLD_VALUE,<VALUE>
TID_COIN_META_MIGRATION_TITLE,Important Changes!
TID_COIN_META_MIGRATION_OK,PLAY TUTORIAL
TID_COIN_META_MIGRATION_TXT_1,"Brawl Stars has a new upgrade system, where Brawlers can level up after getting enough Power Points. Your existing progress has been converted to Brawler Levels."
TID_COIN_META_MIGRATION_TXT_2,"You receive Brawl Boxes for your unused Upgrade Tokens, and some more to make sure you don't lose progress."
TID_COIN_META_MIGRATION_TXT_3,Game is now played in landscape and controlled with dual joysticks.
TID_COIN_META_MIGRATION_TXT_4,COIN BOOSTER is now gone and converted to gems.
TID_BOLTS_MIGRATION_TITLE,Important Changes!
TID_BOLTS_MIGRATION_OK,Ok
TID_BOLTS_MIGRATION_INFO,The new Brawler upgrade system no longer uses Elixir. You have been refunded <BOLTS> Upgrade Tokens for your Elixir and previous Brawler upgrades. Use Upgrade Tokens to upgrade your Brawlers!\n\nDuplicate Brawlers and therefore also Chips have been removed from the game. You have been refunded <GEMS> Gems for your Chips. Enjoy!
TID_BOLTS_MIGRATION_ELIXER_TOKEN,YOUR ELIXIR HAS BECOME UPGRADE TOKENS
TID_BOLTS_MIGRATION_CHIP_GEM,YOUR CHIPS WERE CASHED OUT INTO GEMS
TID_STAT_HEALING_PER_SEC,Healing per second
TID_STAT_DAMAGE_PER_CARD,Damage per card
TID_OVERTIME,Overtime!
TID_STARTER_PACK_XP_REQ,Special offer for reaching experience level <XPLEVEL>
TID_VALUE,value
TID_SHOP_ONE_TIME_PURCHASE,This offer is a ONE time purchase!
TID_HINT_MAKE_GOAL_1,DRAG the <ccc0033>RED CONTROL</c> to aim the Ball!
TID_BALL_2,Triple Dribble
TID_BALL_3,Pinhole Punt
TID_STARTER_PACK_1,Level 5 Pack
TID_STARTER_PACK_2,Level 15 Pack
TID_STARTER_PACK_3,Level 25 Pack
TID_IAP_XMAS2018_PACK,Holiday Pack
TID_IAP_XMAS2018_PACK_DESC,Ho Ho Ho!
TID_STARTER_PACK_0,Welcome Pack
TID_STARTER_PACK_0_DESC,Celebrating the beginning of your Brawl Stars journey
TID_IAP_LNY2019_PACK,Lunar Brawl Offer
TID_IAP_LNY2019_PACK_DESC,Happy Lunar New Year!
TID_IAP_MARCH2019_PACK,March Offer
TID_IAP_MARCH2019_PACK_DESC,This is a one time offer!
TID_IAP_REFRESHER_PACK_DESC,This is a one time offer!
TID_BLACKHOLE_DEFAULT_SKIN,Default
TID_GOLD_CAP_HIT,Token limit reached.
TID_GATCHA_BUTTON_BOX_STACK_FULL,Box stack full
TID_COOP_1,Pachinko Park
TID_GAME_MODE_8,ROBO RUMBLE
TID_GAME_MODE_8_DESC,"Defend the safe from greedy Robo Bandits! The longer you defend, the better your reward!\n\nRobots will be coming for the safe from all sides, and in ever-increasing numbers. Do your best to defend as long as you can!"
TID_COOP_INTRO_TEXT,Defend the safe!
TID_SELECT_EVENT_POPUP_TITLE,Select event
TID_BARREL_BOT,DARRYL
TID_BARREL_BOT_DESC,Darryl has a powerful double-shotgun attack. His Super move is a reckless roll inside his bouncy barrel!
TID_BARREL_BOT_WEAPON,DOUBLE DEUCE
TID_BARREL_BOT_WEAPON_DESC,Darryl's double barrel shotguns fire two staggered blasts of heavy close-range damage.
TID_BARREL_BOT_ULTI,BARREL ROLL
TID_BARREL_BOT_ULTI_DESC,"Darryl rolls forward inside his barrel, knocking back enemies and bouncing off walls. His Super recharges over time!"
TID_ARTILLERY_DUDE,PENNY
TID_ARTILLERY_DUDE_DESC,"Penny shoots bags of coins, damaging the target and anyone standing behind. Her Super is a mortar-style cannon turret!"
TID_ARTILLERY_DUDE_WEAPON,PLUNDERBUSS
TID_ARTILLERY_DUDE_WEAPON_DESC,"Shoots out a pouch of fool's gold. If the pouch hits an enemy, it bursts and coins pepper targets behind the first enemy."
TID_ARTILLERY_DUDE_ULTI,OLD LOBBER
TID_ARTILLERY_DUDE_ULTI_DESC,"Penny sets up her cannon! It can shoot at enemies at a long range, even if they are behind cover."
TID_ITEM_NAME_SPECIAL,STAR POWER
TID_HERO_INFO_ITEM_LOCKED,You can find this after level <LEVEL>
TID_HERO_INFO_LOCKED_INFO,Unlock Brawler from Brawl Boxes
TID_HERO_INFO_LOCKED_INFO_RANK_TRACK,Reach <SCORE> total trophies to unlock
TID_SPEC_ABI_FREEZE,Shell Shock
TID_SPEC_ABI_BERSERKER,Berserker
TID_SPEC_SELF_DESTRUCT,Revenge
TID_SPEC_ABI_CACTUS_HEAL,Fertilize
TID_SPEC_ABI_HEAL_SELF_MAIN_ATTACK,Medical Use
TID_SPEC_ABI_REPAIR_TURRET,Energize
TID_SPEC_ABI_PET_LIFESTEAL,Bear With Me
TID_SPEC_ABI_STEAL_SOULS,Creepy Harvest
TID_SPEC_ABI_SPOT,Circling Eagle
TID_SPEC_ABI_AMBUSH,Ambush
TID_SPEC_ABI_BLACK_HOLE_MONSTER,Black Portal
TID_SPEC_ABI_SPEED,Slick Boots
TID_SPEC_ABI_HEAL_OTHERS_MAIN_ATTACK,Mama's Hug
TID_SPEC_BOUNCED_BULLETS_STRONGER,Super Bouncy
TID_SPEC_ABI_FIRE_DOT_ULTI,El Fuego
TID_SPEC_LAST_STAND,Swan Song
TID_SPEC_BURN,Incendiary
TID_SPEC_CRIPPLE,Extra Toxic
TID_SPEC_ABI_BARREL_DEFENSE,Steel Hoops
TID_SPEC_HEAL_MAIN_ATTACK,Da Capo!
TID_SPEC_ABI_FREEZE_DESC,Shelly's Super shells slow down enemies for <c00cc00><VALUE1></c> seconds!
TID_SPEC_ABI_PREY_ON_THE_WEAK_DESC,+<c00cc00><VALUE2></c> damage from weapon and Super against brawlers with <VALUE1>% or less health
TID_SPEC_ABI_BERSERKER_DESC,"When Bull falls below <c00cc00><VALUE1>%</c> health, his reload speed doubles!"
TID_SPEC_SELF_DESTRUCT_DESC,When Dynamike is defeated he throws six sticks of dynamite causing <c00cc00><VALUE1></c> damage each
TID_SPEC_ABI_CACTUS_HEAL_DESC,"After using Super, Spike regenerates <c00cc00><VALUE1></c> health per second by staying in its area of effect."
TID_SPEC_ABI_HEAL_SELF_MAIN_ATTACK_DESC,Barley regains <c00cc00><VALUE1></c> health from each main attack.
TID_SPEC_ABI_REPAIR_TURRET_DESC,Jessie can repair her gun turret for <c00cc00><VALUE1></c> of its missing health by zapping it with her attack.
TID_SPEC_ABI_PET_LIFESTEAL_DESC,"Nita recovers <c00cc00><VALUE1></c> health whenever her bear hits an enemy. When Nita deals damage, her bear regains <c00cc00><VALUE2></c> health."
TID_SPEC_ABI_STEAL_SOULS_DESC,"Mortis reaps the life essence of Brawler he defeats, restoring <c00cc00><VALUE1></c> of his health."
TID_SPEC_SPOT_FROM_AIR_DESC,"When using his Super, Crow can spot all hidden enemies from the air. Also teammates will see them!"
TID_SPEC_HEAL_MAIN_ATTACK_DESC,When Poco's attack hits friendly Brawlers they now heal for <c00cc00><VALUE1></c> health.
TID_SPEC_ABI_SPOT_DESC,Bo spots enemies hidden in bushes from double the distance than normally.
TID_SPEC_ABI_AMBUSH_DESC,Piper's attack deals <c00cc00>+<VALUE1></c> extra damage (at max range) when she's hidden in a bush.
TID_SPEC_ABI_BLACK_HOLE_MONSTER_DESC,Tara's Super cracks open a dimensional portal! A shadowy version of Tara appears and attacks her enemies.
TID_SPEC_ABI_TODO_DESC,Special ability undefined
TID_SPEC_ABI_SPEED_DESC,Colt's movement speed is increased by a pair of slick new boots.
TID_SPEC_ABI_PUSHBACK_SELF_DESC,Dynamike can ride the blast wave of his explosives to jump over obstacles!
TID_SPEC_ABI_HEAL_OTHERS_MAIN_ATTACK_DESC,"Whenever Pam hits enemies with Scrapstorm, she heals herself and nearby friendly Brawlers for <c00cc00><VALUE1></c> health."
TID_SPEC_BOUNCED_BULLETS_STRONGER_DESC,"Rico's bullets, from attack and Super alike, get supercharged by their first bounce and deal +<c00cc00><VALUE1></c> damage!"
TID_SPEC_ABI_FIRE_DOT_ULTI_DESC,Enemies caught in El Primo's Super will burn for <c00cc00><VALUE1></c> damage over 4 seconds.
TID_SPEC_LAST_STAND_DESC,Poco plays his swan song at the very moment he expires. Friendly Brawlers around him recover <c00cc00><VALUE1></c> health!
TID_SPEC_BURN_DESC,The impact of Brock's attack sets the ground on fire. Enemies in the area take <c00cc00><VALUE1></c> damage per second!
TID_SPEC_ABI_BARREL_DEFENSE_DESC,"Darryl's Super reinforces his barrel, reducing all damage he takes by <c00cc00><VALUE2>%</c> for <c00cc00><VALUE1></c> seconds."
TID_SPEC_CRIPPLE_DESC,"Crow's poison saps the strength of enemies, who deal <c00cc00><VALUE1>%</c> less damage while poisoned."
TID_SEASON_ENDED_NOTI,Season has ended! Season rewards are waiting for you.
TID_BATTLE_ROYALE_7,Double Trouble
TID_GAME_MODE_9,DUO SHOWDOWN
TID_GAME_MODE_9_COMBINED,SHOWDOWN
TID_GAME_MODE_9_DESC,"Take down the other four teams. If you are defeated, you will respawn in a while if your teammate is still alive!"
TID_WAVE_APPROACHING,Wave <number>
TID_TEAMS_LEFT,Teams left: <num>
TID_TEAM_MATE_RESPAWNING,Teammate back in: <num>
TID_BOSS_APPROACHING,Wave <number>: <ccc0000>Big Robot Incoming!</c>
TID_COOP_2,Steel Junction
TID_BOSS_2,Hall of the Mole King
TID_BEAR_DAMAGE,Bear Damage
TID_BEAR_HEALTH,Bear Health
TID_EVENT_POPUP_GMV_LABEL_BATTLE_ROYALE_TEAM,Teams of two
TID_SPEC_ABI_PUSHBACK_SELF,Dyna-Jump
TID_VIEW_PROFILE_BUTTON,View Profile
TID_REPORT_PLAYER_BUTTON,REPORT
TID_CHAT_REPORT_CONFIRMATION_TITLE,Report <name>?
TID_CHAT_REPORT_CONFIRMATION,\n\nAre you sure you want to report <name> for inappropriate behavior?
TID_PLAYER_ALREADY_REPORTED,This player has already been reported!
TID_STARTER_PACK_4,Level 35 Pack
TID_NEED_HERO,Can not purchase Skin. Need to unlock Brawler first.
TID_EVENT_ENDING,<GAMEMODE> is ending soon!
TID_TEAM_DISPLAY_TITLE_CLAN,CLUB TEAMS
TID_TEAM_DISPLAY_TITLE_FRIENDS,FRIEND TEAMS
TID_TICKETS_REVEIVED,<AMOUNT> event tickets received!
TID_TUTORIAL_12,"We've got the GEMS, let's head towards the exit!"
TID_NO_TARGET_HINT,No target available for QUICKFIRE!
TID_CAN_NOT_AUTOSHOOT,No QUICKFIRE available for this Super
TID_VS,VS
TID_VS_SHOWDOWN,Every Brawler for themself!
TID_HAS_LASER_BALL_HINT,Can't QUICKFIRE when carrying the Ball
TID_CLAN_RESPONSE_44,Join failed: You are already in a Club
TID_SHOTGUN_GIRL_SHORT_DESC,FIGHTER
TID_GUNSLINGER_SHORT_DESC,SHARPSHOOTER
TID_BULL_DUDE_SHORT_DESC,HEAVYWEIGHT
TID_ROCKET_GIRL_SHORT_DESC,SHARPSHOOTER
TID_TNT_DUDE_SHORT_DESC,THROWER
TID_LUCHADOR_SHORT_DESC,HEAVYWEIGHT
TID_TRICKSHOT_DUDE_SHORT_DESC,SHARPSHOOTER
TID_CACTUS_SHORT_DESC,SHARPSHOOTER
TID_BARKEEP_SHORT_DESC,THROWER
TID_MECHANIC_SHORT_DESC,FIGHTER
TID_SHAMAN_SHORT_DESC,FIGHTER
TID_UNDERTAKER_SHORT_DESC,DASHING ASSASSIN
TID_CROW_SHORT_DESC,TOXIC ASSASSIN
TID_DEAD_MARIACHI_SHORT_DESC,HEALER
TID_BOW_DUDE_SHORT_DESC,FIGHTER
TID_SNIPER_SHORT_DESC,SHARPSHOOTER
TID_MINIGUN_DUDE_SHORT_DESC,HEALER
TID_BLACK_HOLE_SHORT_DESC,SKIRMISHER
TID_BARREL_BOT_SHORT_DESC,HEAVYWEIGHT
TID_CLAN_INTRO_SUGGESTED_CLANS,BEST CLUBS FOR YOU
TID_CLAN_INTRO_CREATE_TITLE,WHY NOT MAKE YOUR OWN
TID_CLAN_INTRO_HEADER,CLUBS
TID_CLAN_INFO_TITLE,CLUB INFO
TID_CLAN_INFO_NO_DESCRIPTION,NO CLUB DESCRIPTION
TID_EVENT_POPUP_TITLE,LET'S BATTLE!
TID_GOLDRUSH_8,Sapphire Plains
TID_USE_AUTOFIRE_TUTORIAL,TAP the <ccc0033>red control</c> to shoot at the closest enemy!
TID_BRAWL_BOX_INFO_2,"Each Brawl Box contains one of the following: a new Brawler, Power Points + Coins, or a Star Power. Additionally, you can get Token Doublers or Event Tickets as a bonus.\n\nReward probabilities are:\n\nPower Points + Coins : <NUM1> %\nRare Brawler : <NUM2> %\nSuper Rare Brawler : <NUM3> %\nEpic Brawler : <NUM4> %\nMythic Brawler : <NUM5> %\nLegendary Brawler : <NUM6> %\nStar Power : <NUM7> %\n\nIn addition, each draw gives you a 25 % chance to get Event Tickets, a 9 % chance to get Gems and a 3 % chance to get a Token Doubler. Note that Star Powers are only available for Brawlers that have reached Level 9. Once you have unlocked all rewards of a certain type, for example Rare Brawlers, the probability to get all other rewards increases. Luck: In order to make the Brawl Box opening experience more fair there is a luck system affecting the probability of Legendary Brawlers. With each draw that doesn't give you a new Brawler, your luck value is increased, and each time you get a new Brawler, your luck value goes down based on the rarity of the Brawler you got. When luck is high enough, you have a greater chance to get a Legendary Brawler, while a low luck value means that it's harder to get a new Legendary Brawler. The contents of early Brawl Boxes are predetermined to ensure a fair start for everybody."
TID_POWER_DROP_VALUE,+<VALUE>
TID_COLLECT,COLLECT
TID_PAGE_FRIENDS_TITLE,FRIENDS
TID_PAGE_FRIENDS_TITLE2,Battle with Your Friends!
TID_PAGE_FRIENDS_NO_FRIENDS_NO_LOGIN,Connect to Facebook or find friends in the game to play with them!
TID_PAGE_FRIENDS_NO_FRIENDS,Connect to Facebook or find friends in the game to play with them!
TID_FRIENDS_TITLE,<COUNT> friends
TID_FRIENDS_TAB_1,FRIENDS
TID_FRIENDS_TAB_2,SUGGESTED
TID_FRIENDS_TAB_3,INVITES
TID_TOTAL,TOTAL
TID_BRAWL_BOX_INFO_TITLE_2,BRAWL BOX INFO
TID_BRAWL_BOX_INFO_TITLE_3,MEGA BOX INFO
TID_BRAWL_BOX_INFO_3,"One Mega Box gives you rewards similar to opening ten Brawl Boxes. However, the Power Points are distributed among fewer Brawlers.\n\nYou get ten random draws, each with these reward probabilities:\n\nPower Points + Coins : <NUM1> %\nRare Brawler : <NUM2> %\nSuper Rare Brawler : <NUM3> %\nEpic Brawler : <NUM4> %\nMythic Brawler : <NUM5> %\nLegendary Brawler : <NUM6> %\nStar Power : <NUM7> %\n\nIn addition, each draw gives you a 25 % chance to get Event Tickets, a 9 % chance to get Gems and a 3 % chance to get a Token Doubler. Note that Star Powers are only available for Brawlers that have reached Level 9. Once you have unlocked all rewards of a certain type, for example Rare Brawlers, the probability to get all other rewards increases. Luck: In order to make the Brawl Box opening experience more fair there is a luck system affecting the probability of Legendary Brawlers. With each draw that doesn't give you a new Brawler, your luck value is increased, and each time you get a new Brawler, your luck value goes down based on the rarity of the Brawler you got. When luck is high enough, you have a greater chance to get a Legendary Brawler, while a low luck value means that it's harder to get a new Legendary Brawler. Early draws are predetermined to ensure a fair start for everybody."
TID_HERO_BUNDLE_0,Shelly's Stash
TID_HERO_BUNDLE_1,Colt's Holster
TID_HERO_BUNDLE_2,Bull's Bag
TID_HERO_BUNDLE_3,Brock's Box
TID_HERO_BUNDLE_4,Ricochet's Bank
TID_HERO_BUNDLE_5,Spike's Granary
TID_HERO_BUNDLE_6,Barley's Cellar
TID_HERO_BUNDLE_7,Jessie's Junkpile
TID_HERO_BUNDLE_8,Nita's Nest
TID_HERO_BUNDLE_9,Dynamike's Satchel
TID_HERO_BUNDLE_10,El Primo's Locker
TID_HERO_BUNDLE_11,Coffer Offer
TID_HERO_BUNDLE_12,Crow's Collection
TID_HERO_BUNDLE_13,Poco's Pouch
TID_HERO_BUNDLE_14,Bo's Bundle
TID_HERO_BUNDLE_15,Piper's Clutch
TID_HERO_BUNDLE_16,Pam's Purse
TID_HERO_BUNDLE_17,Tara's Chest
TID_HERO_BUNDLE_18,Darryl's Barrel
TID_OFFER_ALSO_INCLUDES,OFFER ALSO INCLUDES
TID_OFFER_VALUE_TITLE,VALUE
TID_OFFER_VALUE,+<VALUE>%
TID_SHOP_OFFER_COUNTDOWN,<TIME>
TID_USE_ULTI_TUTORIAL,DRAG the <cff9900>yellow control</c> to aim!
TID_HERO_STATS_TITLE,BRAWLER STATS
TID_GATCHA_SCREEN_ITEMS_REMAINING,ITEMS REMAINING:
TID_GATCHA_SCREEN_BONUS_ITEMS_REMAINING,BONUSES REMAINING:
TID_GATCHA_SCREEN_YOU_GOT,YOU GOT:
TID_GATCHA_SCREEN_BONUSES,BONUS ITEMS:
TID_GATCHA_SCREEN_SUMMARY_UNLOCKED,UNLOCKED!
TID_HERO_LIST_ITEM_UPGRADE,UPGRADE
TID_SHOP_CLAMIMED,Claimed
TID_SHOP_OFFER_PURCHASE_ERROR_CLAIMED,This item has already been claimed
TID_ONLINE,ONLINE
TID_LEADERBOARD,LEADERBOARD
TID_NOT_ENOUGH_TICKETS_INFO,\n\nYou're out of Tickets. Visit the Shop to get some more!
TID_HERO_LIST_NEW,NEW
TID_CLUSTER_BOMB_DUDE,HOVERBOARD
TID_HAMMER_DUDE,FRANK
TID_HOLD_PHONE_LIKE_THIS,HOLD YOUR DEVICE LIKE THIS
TID_HINT_FINGER_TAP_TAP,TAP! TAP!
TID_HINT_FINGER_DRAG,DRAG TO AIM
TID_MOVE_HERE,Move here
TID_HINT_HEADER,TIP:
TID_HINT_0,You can TAP the <ccc0033>red control</c> to QUICKFIRE towards the closest enemy.
TID_HINT_1,You can TAP the <cff9900>yellow control</c> to QUICKFIRE your Super towards the closest enemy.
TID_HINT_2,You can DRAG the <ccc0033>red control</c> to AIM your shots.
TID_HINT_3,You can DRAG the <cff9900>yellow control</c> to AIM your Super.
TID_HINT_4,You can cancel an aimed shot by dragging the control back to the middle.
TID_HINT_5,"Matchmaking is based on the Trophies of the Brawler you are playing with, making it easy to gain Trophies with a newly unlocked Brawler."
TID_HINT_6,Getting more Brawlers will make it easier to advance in total Trophies and get more Rewards.
TID_HINT_7,Piper's shots do more damage the farther they travel.
TID_HINT_8,"Barley's Super is especially powerful at short range, because the bottles land within a small area."
TID_HINT_9,Each time Rico's bullets bounce they travel farther.
TID_HINT_10,You can activate the <ccc0033>red control</c> anywhere on the right side of the screen to shoot.
TID_HINT_11,Both your main attack and Super have two shooting modes: TAP to QUICKFIRE and DRAG to AIM.
TID_HINT_12,Aiming your shots is good for leading a moving target.
TID_HINT_13,QUICKFIRE is good for fast reaction shots when you don't have time to aim.
TID_HINT_14,QUICKFIRE works well on enemies close to you.
TID_HINT_15,"When you are hidden inside a bush, enemies can still spot you if they come close enough."
TID_HINT_16,QUICKFIRE shoots straight towards the closest enemy and does not take into account enemy movement.
TID_HINT_17,Aiming your shots is good for shooting into bushes to check for enemies.
TID_HINT_18,QUICKFIRE works well on enemies that stand still.
TID_HINT_19,QUICKFIRE works well on enemies that move straight towards you or away from you.
TID_HINT_20,"When you are inside a bush, enemies can see you if you attack or take damage."
TID_HINT_21,You can use bushes to hide from enemies.
TID_HINT_22,"When you use QUICKFIRE, it will fire your weapon even if there are no enemies in range."
TID_VS_TUTORIAL,Collect all <ce662f9>GEMS</c>
TID_USE_MANUAL_FIRE_TUTORIAL,DRAG the <ccc0033>red control</c> to aim!
TID_TUTORIAL_GOOD_JOB_2,Good job! The <cff6633>ORANGE BARS</c> show your ammo. I'll reload as fast as I can.
TID_TUTORIAL_GOOD_JOB_3,Good job! Attacking enemies charges up your <cff9900>SUPER ATTACK</c>!
TID_TUTORIAL_GOOD_JOB_4,Good job!
TID_SPECTATE_PLAYER_BUTTON,Spectate
TID_SPECTATE_FAILED,Spectate failed
TID_ACCOUNT_DISABLED_TEXT,Account Disabled
TID_ACCOUNT_DELETED_ON_REQUEST_TEXT,This account has been disabled due to a deletion request and can no longer be recovered.
TID_ACCOUNT_DELETED_DUE_INACTIVITY_TEXT,This account has been disabled due to inactivity and can no longer be recovered.
TID_ACCOUNT_DELETION_WARNING_TITLE,Account Deletion Warning
TID_ACCOUNT_DELETION_WARNING_TEXT,"Following your request, your account will be deactivated shortly. If you have changed your mind, contact Help and Support as soon as possible to cancel your request."
TID_ACCOUNT_DELETION_WARNING_TEXT_PAST,"Following your request, your account will be deactivated shortly. If you have changed your mind, contact Help and Support as soon as possible to cancel your request."
TID_CLAN_JOIN_FAILED_ALREADY_IN_THIS_CLAN,You're already in this Club!
TID_CONFIRM_CHANGE_CLAN_TITLE,Change Club?
TID_CONFIRM_CHANGE_CLAN,You are already in a Club! Do you really want to change Club?
TID_CONFIRM_CLAN_FULL_TITLE,Club Full!
TID_CONFIRM_CLAN_FULL,Unable to join <clan>. The Club is full!
TID_BUTTON_CHANGE,Change
TID_CLAN_JOIN_FAILED_IN_TUTORIAL,Finish the tutorial to join a Club
TID_CLAN_INTRO_INVITE,SHARE INVITE
TID_INVITE_CLAN_TOKEN_ERROR,Error generating invite
TID_ALLIANCE_INVITE_FAILED_NO_RIGHTS,Only Club Presidents can invite new members
TID_FRIENDS_FACEBOOK_CONNECT,Connect
TID_FRIENDS_PAGE_INVITE,SHARE INVITE
TID_SHARE_GAME_ROOM_POST_MESSAGE,Click this link to join a team with <name> in Brawl Stars!
TID_SHARE_GAME_ROOM_POST_TITLE,Invite to Team
TID_ROOM_CODE_COPIED_TO_CLIPBOARD,Team ID copied to clipboard!
TID_ROOM_CODE_COPIED_TO_CLIPBOARD_CONFIRM,Ok
TID_TEAM_INVITE_BUTTON_LABEL,SHARE CODE
TID_TEAM_INVITE_EXPIRED,Invite from <NAME> has expired
TID_TEAM_INVITATION_POPUP_TITLE,TEAM INVITE
TID_TEAM_INVITATION_POPUP_ACCEPT,ACCEPT
TID_TEAM_INVITATION_POPUP_REJECT,REJECT
TID_TEAM_INVITATION_POPUP_MUTE,MUTE <NAME>\nFOR THE NEXT 10 MIN
TID_BATTLE_ROYALE_5,Thousand Lakes
TID_DAILY_COINS_COLLECTED_END_SCREEN,Battle Tokens\nexhausted
TID_SHOP_REAL_MONEY_PURCHASES_DISABLED_SPECIAL_BUILD,Real money purchases are not enabled in this build
TID_SHOP_CHINA_WARNING,Warning: enjoy responsibly
TID_GATCHA_AD_STATUS_VIEW,WATCH AD TO\nDOUBLE ONE REWARD!
TID_GATCHA_AD_STATUS_VIEW_CHOISELESS,GET MORE REWARDS!
TID_GATCHA_AD_STATUS_OUT_OF_VIEWS,Daily views used
TID_GATCHA_AD_STATUS_NO_VIDEO,No video available
TID_GATCHA_AD_CONTINUE_BUTTON_TITLE,CONTINUE
TID_AD_DOUBLER_TITLE,CHOOSE REWARD TO DOUBLE
TID_AD_DOUBLER_CONTINUE,CONTINUE
TID_GATCHA_CONTINUE,PROCEED
TID_HINT_23,Some Brawlers are better on some maps and events than others.
TID_HINT_24,Long range Brawlers are generally better on more open maps.
TID_HINT_25,Close range Brawlers are generally better on maps with more cover and bushes.
TID_SPEC_ABI_SELF_DESTRUCT,Last Blast
TID_SPEC_ABI_SELF_DESTRUCT_DESC,"When Penny's Cannon is destroyed, it shoots out one last barrage of bombs, each dealing <c00cc00><VALUE1></c> damage."
TID_EVENT_LIST_BRAWL,PLAY
TID_INVITE_COPIED_TO_CLIPBOARD,Invite link copied to clipboard!
TID_INVITE_COPIED_TO_CLIPBOARD_CONFIRM,Ok
TID_FRIEND_INVITE_POST_MESSAGE,Click this link to add <friend> as a friend in Brawl Stars!
TID_FRIEND_INVITE_POST_TITLE,Invite a friend!
TID_ALLIANCE_JOIN_POST_MESSAGE,Click this link to join my Club in Brawl Stars!
TID_ALLIANCE_JOIN_POST_TITLE,Invite a friend to join your Club!
TID_KEY_BAR_FULL,<VALUE> Tokens available. Time to Battle!
TID_HOMESCREEN_MODE_LOCKED,Reach <COUNT> total Trophies to Battle here!
TID_GAMEROOMS_PLAYERS_ONLINE,<count> FRIENDS ONLINE
TID_ARTILLERY_DUDE_SHORT_DESC,SHARPSHOOTER
TID_HAMMER_DUDE_SHORT_DESC,HEAVYWEIGHT
TID_HAMMER_DUDE_DESC,"Frank swings his hammer at enemies, sending a shockwave. His Super is an especially powerful blow that stuns enemies!"
TID_HAMMER_DUDE_WEAPON,HAMMER HIT
TID_HAMMER_DUDE_WEAPON_DESC,"Frank takes a while to wind up his hammer blow, but the hit is so hard it sends a shockwave."
TID_HAMMER_DUDE_ULTI,STUNNING BLOW
