TID,AR
TID_ARTILLERY_DUDE_WEAPON,PLUNDERBUSS
TID_ARTILLERY_DUDE_WEAPON_DESC,"Shoots out a pouch of fool's gold. If the pouch hits an enemy, it bursts and coins pepper targets behind the first enemy."
TID_ARTILLERY_DUDE_ULTI,OLD LOBBER
TID_ARTILLERY_DUDE_ULTI_DESC,"Penny sets up her cannon! It can shoot at enemies at a long range, even if they are behind cover."
TID_ITEM_NAME_SPECIAL,STAR POWER
TID_HERO_INFO_ITEM_LOCKED,You can find this after level <LEVEL>
TID_HERO_INFO_LOCKED_INFO,Unlock Brawler from Brawl Boxes
TID_HERO_INFO_LOCKED_INFO_RANK_TRACK,Reach <SCORE> total trophies to unlock
TID_SPEC_ABI_FREEZE,Shell Shock
TID_SPEC_ABI_BERSERKER,Berserker
TID_SPEC_SELF_DESTRUCT,Revenge
TID_SPEC_ABI_CACTUS_HEAL,Fertilize
TID_SPEC_ABI_HEAL_SELF_MAIN_ATTACK,Medical Use
TID_SPEC_ABI_REPAIR_TURRET,Energize
TID_SPEC_ABI_PET_LIFESTEAL,Bear With Me
TID_SPEC_ABI_STEAL_SOULS,Creepy Harvest
TID_SPEC_ABI_SPOT,Circling Eagle
TID_SPEC_ABI_AMBUSH,Ambush
TID_SPEC_ABI_BLACK_HOLE_MONSTER,Black Portal
TID_SPEC_ABI_SPEED,Slick Boots
TID_SPEC_ABI_HEAL_OTHERS_MAIN_ATTACK,Mama's Hug
TID_SPEC_BOUNCED_BULLETS_STRONGER,Super Bouncy
TID_SPEC_ABI_FIRE_DOT_ULTI,El Fuego
TID_SPEC_LAST_STAND,Swan Song
TID_SPEC_BURN,Incendiary
TID_SPEC_CRIPPLE,Extra Toxic
TID_SPEC_ABI_BARREL_DEFENSE,Steel Hoops
TID_SPEC_HEAL_MAIN_ATTACK,Da Capo!
TID_SPEC_ABI_FREEZE_DESC,Shelly's Super shells slow down enemies for <c00cc00><VALUE1></c> seconds!
TID_SPEC_ABI_PREY_ON_THE_WEAK_DESC,+<c00cc00><VALUE2></c> damage from weapon and Super against brawlers with <VALUE1>% or less health
TID_SPEC_ABI_BERSERKER_DESC,"When Bull falls below <c00cc00><VALUE1>%</c> health, his reload speed doubles!"
TID_SPEC_SELF_DESTRUCT_DESC,When Dynamike is defeated he throws six sticks of dynamite causing <c00cc00><VALUE1></c> damage each
TID_SPEC_ABI_CACTUS_HEAL_DESC,"After using Super, Spike regenerates <c00cc00><VALUE1></c> health per second by staying in its area of effect."
TID_SPEC_ABI_HEAL_SELF_MAIN_ATTACK_DESC,Barley regains <c00cc00><VALUE1></c> health from each main attack.
TID_SPEC_ABI_REPAIR_TURRET_DESC,Jessie can repair her gun turret for <c00cc00><VALUE1></c> of its missing health by zapping it with her attack.
TID_SPEC_ABI_PET_LIFESTEAL_DESC,"Nita recovers <c00cc00><VALUE1></c> health whenever her bear hits an enemy. When Nita deals damage, her bear regains <c00cc00><VALUE2></c> health."
TID_SPEC_ABI_STEAL_SOULS_DESC,"Mortis reaps the life essence of Brawler he defeats, restoring <c00cc00><VALUE1></c> of his health."
TID_SPEC_SPOT_FROM_AIR_DESC,"When using his Super, Crow can spot all hidden enemies from the air. Also teammates will see them!"
TID_SPEC_HEAL_MAIN_ATTACK_DESC,When Poco's attack hits friendly Brawlers they now heal for <c00cc00><VALUE1></c> health.
TID_SPEC_ABI_SPOT_DESC,Bo spots enemies hidden in bushes from double the distance than normally.
TID_SPEC_ABI_AMBUSH_DESC,Piper's attack deals <c00cc00>+<VALUE1></c> extra damage (at max range) when she's hidden in a bush.
TID_SPEC_ABI_BLACK_HOLE_MONSTER_DESC,Tara's Super cracks open a dimensional portal! A shadowy version of Tara appears and attacks her enemies.
TID_SPEC_ABI_TODO_DESC,Special ability undefined
TID_SPEC_ABI_SPEED_DESC,Colt's movement speed is increased by a pair of slick new boots.
TID_SPEC_ABI_PUSHBACK_SELF_DESC,Dynamike can ride the blast wave of his explosives to jump over obstacles!
TID_SPEC_ABI_HEAL_OTHERS_MAIN_ATTACK_DESC,"Whenever Pam hits enemies with Scrapstorm, she heals herself and nearby friendly Brawlers for <c00cc00><VALUE1></c> health."
TID_SPEC_BOUNCED_BULLETS_STRONGER_DESC,"Rico's bullets, from attack and Super alike, get supercharged by their first bounce and deal +<c00cc00><VALUE1></c> damage!"
TID_SPEC_ABI_FIRE_DOT_ULTI_DESC,Enemies caught in El Primo's Super will burn for <c00cc00><VALUE1></c> damage over 4 seconds.
TID_SPEC_LAST_STAND_DESC,Poco plays his swan song at the very moment he expires. Friendly Brawlers around him recover <c00cc00><VALUE1></c> health!
TID_SPEC_BURN_DESC,The impact of Brock's attack sets the ground on fire. Enemies in the area take <c00cc00><VALUE1></c> damage per second!
TID_SPEC_ABI_BARREL_DEFENSE_DESC,"Darryl's Super reinforces his barrel, reducing all damage he takes by <c00cc00><VALUE2>%</c> for <c00cc00><VALUE1></c> seconds."
TID_SPEC_CRIPPLE_DESC,"Crow's poison saps the strength of enemies, who deal <c00cc00><VALUE1>%</c> less damage while poisoned."
TID_SEASON_ENDED_NOTI,Season has ended! Season rewards are waiting for you.
TID_BATTLE_ROYALE_7,Double Trouble
TID_GAME_MODE_9,DUO SHOWDOWN
TID_GAME_MODE_9_COMBINED,SHOWDOWN
TID_GAME_MODE_9_DESC,"Take down the other four teams. If you are defeated, you will respawn in a while if your teammate is still alive!"
TID_WAVE_APPROACHING,Wave <number>
TID_TEAMS_LEFT,Teams left: <num>
TID_TEAM_MATE_RESPAWNING,Teammate back in: <num>
TID_BOSS_APPROACHING,Wave <number>: <ccc0000>Big Robot Incoming!</c>
TID_COOP_2,Steel Junction
TID_BOSS_2,Hall of the Mole King
TID_BEAR_DAMAGE,Bear Damage
TID_BEAR_HEALTH,Bear Health
TID_EVENT_POPUP_GMV_LABEL_BATTLE_ROYALE_TEAM,Teams of two
TID_SPEC_ABI_PUSHBACK_SELF,Dyna-Jump
TID_VIEW_PROFILE_BUTTON,View Profile
TID_REPORT_PLAYER_BUTTON,REPORT
TID_CHAT_REPORT_CONFIRMATION_TITLE,Report <name>?
TID_CHAT_REPORT_CONFIRMATION,\n\nAre you sure you want to report <name> for inappropriate behavior?
TID_PLAYER_ALREADY_REPORTED,This player has already been reported!
TID_STARTER_PACK_4,Level 35 Pack
TID_NEED_HERO,Can not purchase Skin. Need to unlock Brawler first.
TID_EVENT_ENDING,<GAMEMODE> is ending soon!
TID_TEAM_DISPLAY_TITLE_CLAN,CLUB TEAMS
TID_TEAM_DISPLAY_TITLE_FRIENDS,FRIEND TEAMS
TID_TICKETS_REVEIVED,<AMOUNT> event tickets received!
TID_TUTORIAL_12,"We've got the GEMS, let's head towards the exit!"
TID_NO_TARGET_HINT,No target available for QUICKFIRE!
TID_CAN_NOT_AUTOSHOOT,No QUICKFIRE available for this Super
TID_VS,VS
TID_VS_SHOWDOWN,Every Brawler for themself!
TID_HAS_LASER_BALL_HINT,Can't QUICKFIRE when carrying the Ball
TID_CLAN_RESPONSE_44,Join failed: You are already in a Club
TID_SHOTGUN_GIRL_SHORT_DESC,FIGHTER
TID_GUNSLINGER_SHORT_DESC,SHARPSHOOTER
TID_BULL_DUDE_SHORT_DESC,HEAVYWEIGHT
TID_ROCKET_GIRL_SHORT_DESC,SHARPSHOOTER
TID_TNT_DUDE_SHORT_DESC,THROWER
TID_LUCHADOR_SHORT_DESC,HEAVYWEIGHT
TID_TRICKSHOT_DUDE_SHORT_DESC,SHARPSHOOTER
TID_CACTUS_SHORT_DESC,SHARPSHOOTER
TID_BARKEEP_SHORT_DESC,THROWER
TID_MECHANIC_SHORT_DESC,FIGHTER
TID_SHAMAN_SHORT_DESC,FIGHTER
TID_UNDERTAKER_SHORT_DESC,DASHING ASSASSIN
TID_CROW_SHORT_DESC,TOXIC ASSASSIN
TID_DEAD_MARIACHI_SHORT_DESC,HEALER
TID_BOW_DUDE_SHORT_DESC,FIGHTER
TID_SNIPER_SHORT_DESC,SHARPSHOOTER
TID_MINIGUN_DUDE_SHORT_DESC,HEALER
TID_BLACK_HOLE_SHORT_DESC,SKIRMISHER
TID_BARREL_BOT_SHORT_DESC,HEAVYWEIGHT
TID_CLAN_INTRO_SUGGESTED_CLANS,BEST CLUBS FOR YOU
TID_CLAN_INTRO_CREATE_TITLE,WHY NOT MAKE YOUR OWN
TID_CLAN_INTRO_HEADER,CLUBS
TID_CLAN_INFO_TITLE,CLUB INFO
TID_CLAN_INFO_NO_DESCRIPTION,NO CLUB DESCRIPTION
TID_EVENT_POPUP_TITLE,LET'S BATTLE!
TID_GOLDRUSH_8,Sapphire Plains
TID_USE_AUTOFIRE_TUTORIAL,TAP the <ccc0033>red control</c> to shoot at the closest enemy!
TID_BRAWL_BOX_INFO_2,"Each Brawl Box contains one of the following: a new Brawler, Power Points + Coins, or a Star Power. Additionally, you can get Token Doublers or Event Tickets as a bonus.\n\nReward probabilities are:\n\nPower Points + Coins : <NUM1> %\nRare Brawler : <NUM2> %\nSuper Rare Brawler : <NUM3> %\nEpic Brawler : <NUM4> %\nMythic Brawler : <NUM5> %\nLegendary Brawler : <NUM6> %\nStar Power : <NUM7> %\n\nIn addition, each draw gives you a 25 % chance to get Event Tickets, a 9 % chance to get Gems and a 3 % chance to get a Token Doubler. Note that Star Powers are only available for Brawlers that have reached Level 9. Once you have unlocked all rewards of a certain type, for example Rare Brawlers, the probability to get all other rewards increases. Luck: In order to make the Brawl Box opening experience more fair there is a luck system affecting the probability of Legendary Brawlers. With each draw that doesn't give you a new Brawler, your luck value is increased, and each time you get a new Brawler, your luck value goes down based on the rarity of the Brawler you got. When luck is high enough, you have a greater chance to get a Legendary Brawler, while a low luck value means that it's harder to get a new Legendary Brawler. The contents of early Brawl Boxes are predetermined to ensure a fair start for everybody."
TID_POWER_DROP_VALUE,+<VALUE>
TID_COLLECT,COLLECT
TID_PAGE_FRIENDS_TITLE,FRIENDS
TID_PAGE_FRIENDS_TITLE2,Battle with Your Friends!
TID_PAGE_FRIENDS_NO_FRIENDS_NO_LOGIN,Connect to Facebook or find friends in the game to play with them!
TID_PAGE_FRIENDS_NO_FRIENDS,Connect to Facebook or find friends in the game to play with them!
TID_FRIENDS_TITLE,<COUNT> friends
TID_FRIENDS_TAB_1,FRIENDS
TID_FRIENDS_TAB_2,SUGGESTED
TID_FRIENDS_TAB_3,INVITES
TID_TOTAL,TOTAL
TID_BRAWL_BOX_INFO_TITLE_2,BRAWL BOX INFO
TID_BRAWL_BOX_INFO_TITLE_3,MEGA BOX INFO
TID_BRAWL_BOX_INFO_3,"One Mega Box gives you rewards similar to opening ten Brawl Boxes. However, the Power Points are distributed among fewer Brawlers.\n\nYou get ten random draws, each with these reward probabilities:\n\nPower Points + Coins : <NUM1> %\nRare Brawler : <NUM2> %\nSuper Rare Brawler : <NUM3> %\nEpic Brawler : <NUM4> %\nMythic Brawler : <NUM5> %\nLegendary Brawler : <NUM6> %\nStar Power : <NUM7> %\n\nIn addition, each draw gives you a 25 % chance to get Event Tickets, a 9 % chance to get Gems and a 3 % chance to get a Token Doubler. Note that Star Powers are only available for Brawlers that have reached Level 9. Once you have unlocked all rewards of a certain type, for example Rare Brawlers, the probability to get all other rewards increases. Luck: In order to make the Brawl Box opening experience more fair there is a luck system affecting the probability of Legendary Brawlers. With each draw that doesn't give you a new Brawler, your luck value is increased, and each time you get a new Brawler, your luck value goes down based on the rarity of the Brawler you got. When luck is high enough, you have a greater chance to get a Legendary Brawler, while a low luck value means that it's harder to get a new Legendary Brawler. Early draws are predetermined to ensure a fair start for everybody."
TID_HERO_BUNDLE_0,Shelly's Stash
TID_HERO_BUNDLE_1,Colt's Holster
TID_HERO_BUNDLE_2,Bull's Bag
TID_HERO_BUNDLE_3,Brock's Box
TID_HERO_BUNDLE_4,Ricochet's Bank
TID_HERO_BUNDLE_5,Spike's Granary
TID_HERO_BUNDLE_6,Barley's Cellar
TID_HERO_BUNDLE_7,Jessie's Junkpile
TID_HERO_BUNDLE_8,Nita's Nest
TID_HERO_BUNDLE_9,Dynamike's Satchel
TID_HERO_BUNDLE_10,El Primo's Locker
TID_HERO_BUNDLE_11,Coffer Offer
TID_HERO_BUNDLE_12,Crow's Collection
TID_HERO_BUNDLE_13,Poco's Pouch
TID_HERO_BUNDLE_14,Bo's Bundle
TID_HERO_BUNDLE_15,Piper's Clutch
TID_HERO_BUNDLE_16,Pam's Purse
TID_HERO_BUNDLE_17,Tara's Chest
TID_HERO_BUNDLE_18,Darryl's Barrel
TID_OFFER_ALSO_INCLUDES,OFFER ALSO INCLUDES
TID_OFFER_VALUE_TITLE,VALUE
TID_OFFER_VALUE,+<VALUE>%
TID_SHOP_OFFER_COUNTDOWN,<TIME>
TID_USE_ULTI_TUTORIAL,DRAG the <cff9900>yellow control</c> to aim!
TID_HERO_STATS_TITLE,BRAWLER STATS
TID_GATCHA_SCREEN_ITEMS_REMAINING,ITEMS REMAINING:
TID_GATCHA_SCREEN_BONUS_ITEMS_REMAINING,BONUSES REMAINING:
TID_GATCHA_SCREEN_YOU_GOT,YOU GOT:
TID_GATCHA_SCREEN_BONUSES,BONUS ITEMS:
TID_GATCHA_SCREEN_SUMMARY_UNLOCKED,UNLOCKED!
TID_HERO_LIST_ITEM_UPGRADE,UPGRADE
TID_SHOP_CLAMIMED,Claimed
TID_SHOP_OFFER_PURCHASE_ERROR_CLAIMED,This item has already been claimed
TID_ONLINE,ONLINE
TID_LEADERBOARD,LEADERBOARD
TID_NOT_ENOUGH_TICKETS_INFO,\n\nYou're out of Tickets. Visit the Shop to get some more!
TID_HERO_LIST_NEW,NEW
TID_CLUSTER_BOMB_DUDE,HOVERBOARD
TID_HAMMER_DUDE,FRANK
TID_HOLD_PHONE_LIKE_THIS,HOLD YOUR DEVICE LIKE THIS
TID_HINT_FINGER_TAP_TAP,TAP! TAP!
TID_HINT_FINGER_DRAG,DRAG TO AIM
TID_MOVE_HERE,Move here
TID_HINT_HEADER,TIP:
TID_HINT_0,You can TAP the <ccc0033>red control</c> to QUICKFIRE towards the closest enemy.
TID_HINT_1,You can TAP the <cff9900>yellow control</c> to QUICKFIRE your Super towards the closest enemy.
TID_HINT_2,You can DRAG the <ccc0033>red control</c> to AIM your shots.
TID_HINT_3,You can DRAG the <cff9900>yellow control</c> to AIM your Super.
TID_HINT_4,You can cancel an aimed shot by dragging the control back to the middle.
TID_HINT_5,"Matchmaking is based on the Trophies of the Brawler you are playing with, making it easy to gain Trophies with a newly unlocked Brawler."
TID_HINT_6,Getting more Brawlers will make it easier to advance in total Trophies and get more Rewards.
TID_HINT_7,Piper's shots do more damage the farther they travel.
TID_HINT_8,"Barley's Super is especially powerful at short range, because the bottles land within a small area."
TID_HINT_9,Each time Rico's bullets bounce they travel farther.
TID_HINT_10,You can activate the <ccc0033>red control</c> anywhere on the right side of the screen to shoot.
TID_HINT_11,Both your main attack and Super have two shooting modes: TAP to QUICKFIRE and DRAG to AIM.
TID_HINT_12,Aiming your shots is good for leading a moving target.
TID_HINT_13,QUICKFIRE is good for fast reaction shots when you don't have time to aim.
TID_HINT_14,QUICKFIRE works well on enemies close to you.
TID_HINT_15,"When you are hidden inside a bush, enemies can still spot you if they come close enough."
TID_HINT_16,QUICKFIRE shoots straight towards the closest enemy and does not take into account enemy movement.
TID_HINT_17,Aiming your shots is good for shooting into bushes to check for enemies.
TID_HINT_18,QUICKFIRE works well on enemies that stand still.
TID_HINT_19,QUICKFIRE works well on enemies that move straight towards you or away from you.
TID_HINT_20,"When you are inside a bush, enemies can see you if you attack or take damage."
TID_HINT_21,You can use bushes to hide from enemies.
TID_HINT_22,"When you use QUICKFIRE, it will fire your weapon even if there are no enemies in range."
TID_VS_TUTORIAL,Collect all <ce662f9>GEMS</c>
TID_USE_MANUAL_FIRE_TUTORIAL,DRAG the <ccc0033>red control</c> to aim!
TID_TUTORIAL_GOOD_JOB_2,Good job! The <cff6633>ORANGE BARS</c> show your ammo. I'll reload as fast as I can.
TID_TUTORIAL_GOOD_JOB_3,Good job! Attacking enemies charges up your <cff9900>SUPER ATTACK</c>!
TID_TUTORIAL_GOOD_JOB_4,Good job!
TID_SPECTATE_PLAYER_BUTTON,Spectate
TID_SPECTATE_FAILED,Spectate failed
TID_ACCOUNT_DISABLED_TEXT,Account Disabled
TID_ACCOUNT_DELETED_ON_REQUEST_TEXT,This account has been disabled due to a deletion request and can no longer be recovered.
TID_ACCOUNT_DELETED_DUE_INACTIVITY_TEXT,This account has been disabled due to inactivity and can no longer be recovered.
TID_ACCOUNT_DELETION_WARNING_TITLE,Account Deletion Warning
TID_ACCOUNT_DELETION_WARNING_TEXT,"Following your request, your account will be deactivated shortly. If you have changed your mind, contact Help and Support as soon as possible to cancel your request."
TID_ACCOUNT_DELETION_WARNING_TEXT_PAST,"Following your request, your account will be deactivated shortly. If you have changed your mind, contact Help and Support as soon as possible to cancel your request."
TID_CLAN_JOIN_FAILED_ALREADY_IN_THIS_CLAN,You're already in this Club!
TID_CONFIRM_CHANGE_CLAN_TITLE,Change Club?
TID_CONFIRM_CHANGE_CLAN,You are already in a Club! Do you really want to change Club?
TID_CONFIRM_CLAN_FULL_TITLE,Club Full!
TID_CONFIRM_CLAN_FULL,Unable to join <clan>. The Club is full!
TID_BUTTON_CHANGE,Change
TID_CLAN_JOIN_FAILED_IN_TUTORIAL,Finish the tutorial to join a Club
TID_CLAN_INTRO_INVITE,SHARE INVITE
TID_INVITE_CLAN_TOKEN_ERROR,Error generating invite
TID_ALLIANCE_INVITE_FAILED_NO_RIGHTS,Only Club Presidents can invite new members
TID_FRIENDS_FACEBOOK_CONNECT,Connect
TID_FRIENDS_PAGE_INVITE,SHARE INVITE
TID_SHARE_GAME_ROOM_POST_MESSAGE,Click this link to join a team with <name> in Brawl Stars!
TID_SHARE_GAME_ROOM_POST_TITLE,Invite to Team
TID_ROOM_CODE_COPIED_TO_CLIPBOARD,Team ID copied to clipboard!
TID_ROOM_CODE_COPIED_TO_CLIPBOARD_CONFIRM,Ok
TID_TEAM_INVITE_BUTTON_LABEL,SHARE CODE
TID_TEAM_INVITE_EXPIRED,Invite from <NAME> has expired
TID_TEAM_INVITATION_POPUP_TITLE,TEAM INVITE
TID_TEAM_INVITATION_POPUP_ACCEPT,ACCEPT
TID_TEAM_INVITATION_POPUP_REJECT,REJECT
TID_TEAM_INVITATION_POPUP_MUTE,MUTE <NAME>\nFOR THE NEXT 10 MIN
TID_BATTLE_ROYALE_5,Thousand Lakes
TID_DAILY_COINS_COLLECTED_END_SCREEN,Battle Tokens\nexhausted
TID_SHOP_REAL_MONEY_PURCHASES_DISABLED_SPECIAL_BUILD,Real money purchases are not enabled in this build
TID_SHOP_CHINA_WARNING,Warning: enjoy responsibly
TID_GATCHA_AD_STATUS_VIEW,WATCH AD TO\nDOUBLE ONE REWARD!
TID_GATCHA_AD_STATUS_VIEW_CHOISELESS,GET MORE REWARDS!
TID_GATCHA_AD_STATUS_OUT_OF_VIEWS,Daily views used
TID_GATCHA_AD_STATUS_NO_VIDEO,No video available
TID_GATCHA_AD_CONTINUE_BUTTON_TITLE,CONTINUE
TID_AD_DOUBLER_TITLE,CHOOSE REWARD TO DOUBLE
TID_AD_DOUBLER_CONTINUE,CONTINUE
TID_GATCHA_CONTINUE,PROCEED
TID_HINT_23,Some Brawlers are better on some maps and events than others.
TID_HINT_24,Long range Brawlers are generally better on more open maps.
TID_HINT_25,Close range Brawlers are generally better on maps with more cover and bushes.
TID_SPEC_ABI_SELF_DESTRUCT,Last Blast
TID_SPEC_ABI_SELF_DESTRUCT_DESC,"When Penny's Cannon is destroyed, it shoots out one last barrage of bombs, each dealing <c00cc00><VALUE1></c> damage."
TID_EVENT_LIST_BRAWL,PLAY
TID_INVITE_COPIED_TO_CLIPBOARD,Invite link copied to clipboard!
TID_INVITE_COPIED_TO_CLIPBOARD_CONFIRM,Ok
TID_FRIEND_INVITE_POST_MESSAGE,Click this link to add <friend> as a friend in Brawl Stars!
TID_FRIEND_INVITE_POST_TITLE,Invite a friend!
TID_ALLIANCE_JOIN_POST_MESSAGE,Click this link to join my Club in Brawl Stars!
TID_ALLIANCE_JOIN_POST_TITLE,Invite a friend to join your Club!
TID_KEY_BAR_FULL,<VALUE> Tokens available. Time to Battle!
TID_HOMESCREEN_MODE_LOCKED,Reach <COUNT> total Trophies to Battle here!
TID_GAMEROOMS_PLAYERS_ONLINE,<count> FRIENDS ONLINE
TID_ARTILLERY_DUDE_SHORT_DESC,SHARPSHOOTER
TID_HAMMER_DUDE_SHORT_DESC,HEAVYWEIGHT
TID_HAMMER_DUDE_DESC,"Frank swings his hammer at enemies, sending a shockwave. His Super is an especially powerful blow that stuns enemies!"
TID_HAMMER_DUDE_WEAPON,HAMMER HIT
TID_HAMMER_DUDE_WEAPON_DESC,"Frank takes a while to wind up his hammer blow, but the hit is so hard it sends a shockwave."
TID_HAMMER_DUDE_ULTI,STUNNING BLOW
TID_HAMMER_DUDE_ULTI_DESC,Frank's greatest hit sends a shockwave that destroys environment and stuns enemies for a while.
TID_SPEC_ABI_STEAL_SOULS2,Power Grab
TID_SPEC_ABI_STEAL_SOULS2_DESC,"Frank steals the power of a Brawler he defeats, increasing his damage by <c00cc00><VALUE1>%</c> for <VALUE2> seconds!"
TID_ONLINE_FRIENDS_TITLE,PLAYERS ONLINE
TID_BATTLE_ROYALE_TEAM_INTRO_TEXT,Be the last team alive!
TID_VS_TEAM_SHOWDOWN,All teams against each other!
TID_FIRST_WIN,STAR TOKEN
TID_BATTLE_END_TEAM_DEATHMATCH_VICTORY,Your team is #1!
TID_HOMESCREEN_MODE_LOCKED_INFO,Unlocks in <count> Trophies
TID_HOMESCREEN_LEAGUE_BUTTON_TITLE,TROPHY ROAD
TID_HOMESCREEN_LEAGUE_BUTTON_COLLECT,COLLECT
TID_LEAGUE_NAME_0,WOODEN
TID_LEAGUE_NAME_1,BRONZE
TID_LEAGUE_NAME_2,SILVER
TID_LEAGUE_NAME_3,GOLD
TID_LEAGUE_NAME_4,DIAMOND
TID_LEAGUE_NAME_5,MASTER
TID_LEAGUE_NAME_6,ELITE
TID_LEAGUE_NAME_7,ALL-STAR
TID_SPECIAL_EVENTS,DAILY EVENT
TID_SPECIAL_EVENT,Special Event:
TID_SPECIAL_EVENT_DESC,Check back every day to play the Daily Event!
TID_SPECIAL_EVENTS_MOD,SPECIAL EVENT
TID_SPECIAL_EVENT_MOD_DESC,Check back regularly for the Special Event of the day!
TID_PLAYING_AGAIN,Play again <c11ee11><NUMBER>/<NUMBER2></c>
TID_PLAYING_AGAIN_NO_PLAYERS,Play again
TID_BRAWL_BOX_INFO_TITLE_1,BIG BOX INFO
TID_BRAWL_BOX_INFO_1,"One Big Box gives you rewards similar to opening three Brawl Boxes. However, the Power Points are distributed among fewer Brawlers.\n\nYou get three random draws, each with these reward probabilities:\n\nPower Points + Coins : <NUM1> %\nRare Brawler : <NUM2> %\nSuper Rare Brawler : <NUM3> %\nEpic Brawler : <NUM4> %\nMythic Brawler : <NUM5> %\nLegendary Brawler : <NUM6> %\nStar Power : <NUM7> %\n\nIn addition, each draw gives you a 25 % chance to get Event Tickets, a 9 % chance to get Gems and a 3 % chance to get a Token Doubler. Note that Star Powers are only available for Brawlers that have reached Level 9. Once you have unlocked all rewards of a certain type, for example Rare Brawlers, the probability to get all other rewards increases. Luck: In order to make the Brawl Box opening experience more fair there is a luck system affecting the probability of Legendary Brawlers. With each draw that doesn't give you a new Brawler, your luck value is increased, and each time you get a new Brawler, your luck value goes down based on the rarity of the Brawler you got. When luck is high enough, you have a greater chance to get a Legendary Brawler, while a low luck value means that it's harder to get a new Legendary Brawler. Early draws are predetermined to ensure a fair start for everybody."
TID_GATCHA_ERROR_NOT_ENOUGH_WINS,Collect 10 Star Tokens to get a Big Box!
TID_HERO_BUNDLE_19,Penny's Treasure
TID_HERO_BUNDLE_20,Frank's Feature
TID_KEY_BAR_INFO,Amount of <c33a5d7>Tokens</c> you can earn from battles.\n\nTokens are used to open Brawl Boxes.
TID_NEW_ONLINE_FRIEND,PLAYER ONLINE
TID_NEW_GAME_ROOM,NEW TEAM
TID_KEY_BAR_TITLE,AVAILABLE TOKENS FROM BATTLE
TID_PLAYAGAIN_QUIT,EXIT
TID_BATTLE_END_WAITING,Waiting for others
TID_ERROR_REPLAY_WAITING,Replay already pending
TID_ERROR_REPLAY_NOT_POSSIBLE,Replay not available
TID_ERROR_SPECTATE_WAITING,Spectate already pending
TID_ERROR_SPECTATE_NOT_POSSIBLE,Player is not Battling currently
TID_BRAWL_TV_STARTING,BrawlTV loading...
TID_ERROR_BRAWL_TV_WAITING,BrawlTV already pending
TID_BRAWL_TV_QUIT,BrawlTV #<NUM>
TID_ERROR_BRAWL_TV_TUNE_FAILED,Nothing on BrawlTV #<NUM> - zapping
TID_BRAWL_TV_BATTLE_END_RETURN_HOME,Next in <NUM>s
TID_BRAWL_TV_BATTLE_END_RETURN_HOME_SOON,AutoNext
TID_FIRST_WIN_INFO_SURVIVAL,Earn a <cff8E1b>Star Token</c> for your first top four finish against other players.
TID_TEAM_POPOVER_YOUR_ROOM,This is your Team
TID_ERROR_SPECTATE_NOT_POSSIBLE_TEAM,Team is not Battling currently
TID_TEAM_AD_JOIN_FAIL_ALREADY_IN_THIS_TEAM,Cannot join. You're already in this team
TID_TEAM_AD_JOIN_FAIL_FULL,Cannot join. Team is full.
TID_HOMESCREEN_NOT_ENOUGH_TICKETS,Cannot start game. Not enough tickets
TID_HOMESCREEN_TEAMS_NOT_SUPPORTED,This event doesn't support playing in Teams
TID_GAME_MODE_UNLOCKED,UNLOCKED
TID_ERROR_SPECTATE_DISABLED,Spectate is temporarily disabled due to technical reasons
TID_SPECTATE_FOLLOW,Press to follow:
TID_SPECTATE_FOLLOWING,Following:
TID_FIRST_WIN_INFO_TICKETED_EVENT,Earn a <cff8E1b>Star Token</c> from your first Battle.
TID_FIRST_WIN_INFO_TEAM_SURVIVAL,Earn a <cff8E1b>Star Token</c> for your first top two finish against other players.
TID_FIRST_WIN_INFO_SURVIVAL_COMBINED,Play against other players and finish top four in Solo or top two in Duo to earn the <cff8E1b>Star Token</c>.
TID_CONNECTING_WAIT_FOR_SPECTATE,Waiting for spectate...
TID_GATCHA_AD_STATUS_VIEW_SHOW_VIEWS,WATCH AD TO\nDOUBLE ONE REWARD!\n<VIEWCOUNTREM> views remaining today
TID_GATCHA_AD_STATUS_VIEW_SHOW_1VIEW,WATCH AD TO\nDOUBLE ONE REWARD!\n<VIEWCOUNTREM> view remaining today
TID_GATCHA_AD_STATUS_VIEW_SHOW_VIEWS_CHOISELESS,GET MORE REWARDS!\n<VIEWCOUNTREM> views remaining today
TID_GATCHA_AD_STATUS_VIEW_SHOW_1VIEW_CHOISELESS,GET MORE REWARDS!\n<VIEWCOUNTREM> view remaining today
TID_CANNON_DAMAGE,Cannon Damage
TID_CANNON_HEALTH,Cannon Health
TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_OTHER,This player has too many friend requests pending. Please try again later.
TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_YOU,You have sent too many friend requests. Remove one and try again.
TID_ADD_FRIEND_ERROR_GENERIC,Could not send Friend Invite. Please try again later.
TID_ADD_FRIEND_ERROR_DOES_NOT_EXIST,The player you tried to add doesn't exist.
TID_ADD_FRIEND_ERROR_OWN_AVATAR,Can't invite yourself as friend!
TID_ADD_FRIEND_ERROR_TOO_MANY_FRIENDS_OTHER,Your friend has too many friends. Please try again later.
TID_ADD_FRIEND_ERROR_TOO_MANY_FRIENDS_YOU,You have too many friends. Remove one if you want to add new friends.
TID_HINT_26,Penny can deal a lot of damage with her splash attack if her targets line up.
